sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0547,DJI_20260602140407_0547_V.JPG,DJI_20260602140408_0547_T.JPG,yes,yes,
0548,DJI_20260602140408_0548_V.JPG,DJI_20260602140408_0548_T.JPG,yes,yes,
0549,DJI_20260602140409_0549_V.JPG,DJI_20260602140409_0549_T.JPG,yes,yes,
0550,DJI_20260602140410_0550_V.JPG,DJI_20260602140410_0550_T.JPG,yes,yes,
0551,DJI_20260602140410_0551_V.JPG,DJI_20260602140410_0551_T.JPG,yes,yes,
0552,DJI_20260602140411_0552_V.JPG,DJI_20260602140411_0552_T.JPG,yes,yes,
0553,DJI_20260602140412_0553_V.JPG,DJI_20260602140412_0553_T.JPG,yes,yes,
0554,DJI_20260602140412_0554_V.JPG,DJI_20260602140413_0554_T.JPG,yes,yes,
0555,DJI_20260602140413_0555_V.JPG,DJI_20260602140413_0555_T.JPG,yes,yes,
0556,DJI_20260602140414_0556_V.JPG,DJI_20260602140414_0556_T.JPG,yes,yes,
0557,DJI_20260602140414_0557_V.JPG,DJI_20260602140415_0557_T.JPG,yes,yes,
0558,DJI_20260602140415_0558_V.JPG,DJI_20260602140415_0558_T.JPG,yes,yes,
0559,DJI_20260602140416_0559_V.JPG,DJI_20260602140416_0559_T.JPG,yes,yes,
0560,DJI_20260602140417_0560_V.JPG,DJI_20260602140417_0560_T.JPG,yes,yes,
0561,DJI_20260602140417_0561_V.JPG,DJI_20260602140417_0561_T.JPG,yes,yes,
0562,DJI_20260602140418_0562_V.JPG,DJI_20260602140418_0562_T.JPG,yes,yes,
0563,DJI_20260602140419_0563_V.JPG,DJI_20260602140419_0563_T.JPG,yes,yes,
0564,DJI_20260602140419_0564_V.JPG,DJI_20260602140420_0564_T.JPG,yes,yes,
0565,DJI_20260602140420_0565_V.JPG,DJI_20260602140420_0565_T.JPG,yes,yes,
0566,DJI_20260602140421_0566_V.JPG,DJI_20260602140421_0566_T.JPG,yes,yes,
0567,DJI_20260602140421_0567_V.JPG,DJI_20260602140422_0567_T.JPG,yes,yes,
